tag,value,n,n_fwd30,up_frac_30m,mean_fwd_ret_30m_atr,mean_mfe_30m_atr,mean_mae_30m_atr,n_fwd60,up_frac_60m,mean_fwd_ret_60m_atr,mean_mfe_60m_atr,mean_mae_60m_atr
tag1_dir_agree,agree,2135,2122,0.5433553251649388,0.00016801272935928617,0.14486176282506666,-0.15554169448058486,2122,0.5424128180961357,-0.0013211019720525046,0.19346137800157004,-0.21021842650914688
tag1_dir_agree,disagree,540,539,0.47866419294990725,-0.012060549997438745,0.13074976634102153,-0.15800598733929003,539,0.5083487940630798,-0.020117768143171927,0.17703943146482323,-0.22036876587366952
tag2_es_stronger,es_stronger,1087,1087,0.5170193192272309,-0.0068445337528094796,0.13805425304634455,-0.1587981092637438,1087,0.5335786568537259,-0.0019075061131264659,0.1876629848582758,-0.21188482861505567
tag2_es_stronger,nq_stronger,1577,1577,0.5396322130627774,0.0008653270343633126,0.14474040072116576,-0.15415664463086703,1577,0.5377298668357641,-0.007013898640616515,0.1918735644562029,-0.2124523320498671
tag3_vwap_side_1000,es_above_nq_below,227,227,0.46255506607929514,-0.026525397948487576,0.11915331932139728,-0.1619067142775159,227,0.5022026431718062,-0.03765251390702926,0.1558179331551,-0.22153516665362416
tag3_vwap_side_1000,es_below_nq_above,241,241,0.5809128630705395,0.014380970813889022,0.14925708665236265,-0.14853503592053396,241,0.5560165975103735,0.021905347559721393,0.2024859736023828,-0.19784629746334592
tag3_vwap_side_1000,same_side,2196,2196,0.5318761384335154,-0.0016028852859533405,0.14358006540504478,-0.15626994788466392,2196,0.5373406193078324,-0.004492916851647508,0.1923517692276848,-0.2128354716886006
tag3_vwap_side_1030,es_above_nq_below,212,212,0.5566037735849056,-0.008266835915096601,0.11435885860611165,-0.12954509450089072,211,0.5781990521327014,0.0037275975518349705,0.154302304836912,-0.18047297793377676
tag3_vwap_side_1030,es_below_nq_above,204,204,0.5637254901960784,0.015470047686146125,0.14123353218199558,-0.12920292821422638,204,0.6078431372549019,0.0370478395590609,0.18631854326440597,-0.16926282517749933
tag3_vwap_side_1030,same_side,2248,2248,0.5115658362989324,-0.0037643729355342913,0.12661269141909137,-0.13830916728216355,2242,0.524085637823372,1.3648717071258515e-05,0.17248247424584975,-0.1898808119087414
tag4_rs_slope_1030,es_relatively_stronger_slope,1240,1229,0.5101708706265257,-0.009185111750925647,0.13070553489632514,-0.15155611604076522,1224,0.5122549019607843,-0.002712626260125991,0.17794616476175,-0.20417705732969604
tag4_rs_slope_1030,nq_relatively_stronger_slope,1438,1435,0.526829268292683,0.002947395468139278,0.12337557248233905,-0.12437456364187749,1433,0.5540823447313329,0.008161296105759651,0.1671084234035872,-0.17334925108729032
