year,n,pf,wr,totR,section,cost_rt,slip,gate
2022.0,18,2.2883049401211206,0.6111111111111112,35.5346250000001,canary_per_year,,,
2023.0,31,0.7849831378526528,0.41935483870967744,-15.839125000000692,canary_per_year,,,
2024.0,33,1.667499988253281,0.5757575757575758,45.66241071428622,canary_per_year,,,
2025.0,44,1.0656785357873486,0.4090909090909091,12.361124999999717,canary_per_year,,,
2026.0,14,2.2920947452816596,0.5714285714285714,130.7101964285701,canary_per_year,,,
2019.0,33,0.7656431036120097,0.3939393939393939,-11.897839285714689,extended_per_year,,,
2020.0,52,0.6027679255278912,0.36538461538461536,-55.994499999998965,extended_per_year,,,
2021.0,44,2.249547045405199,0.5681818181818182,76.45425000000006,extended_per_year,,,
2022.0,25,1.060962864036461,0.4,3.0518750000001065,extended_per_year,,,
2023.0,31,0.8295573437111091,0.41935483870967744,-11.78760714285708,extended_per_year,,,
2024.0,34,0.8112568829803236,0.4117647058823529,-20.014178571428783,extended_per_year,,,
2025.0,46,0.8249734499978281,0.34782608695652173,-39.5245892857136,extended_per_year,,,
2026.0,12,1.8709493197605074,0.5,91.80387499999999,extended_per_year,,,
,277,1.039648154596018,0.4187725631768953,32.091285714287004,cost_ladder,0.3,0.0,
,277,0.9957070392555843,0.4043321299638989,-3.57732142856125,cost_ladder,0.3,0.1,
,277,0.9307186718167467,0.3862815884476534,-60.15764285713599,cost_ladder,0.3,0.2,
,277,0.9405627751909305,0.41155234657039713,-51.008714285712955,cost_ladder,0.6,0.0,
,277,0.9018212720085232,0.4007220216606498,-86.67732142856119,cost_ladder,0.6,0.1,
,277,0.8441941610847051,0.38267148014440433,-143.25764285713595,cost_ladder,0.6,0.2,
,277,0.8248421087141358,0.4043321299638989,-161.808714285713,cost_ladder,1.0,0.0,
,277,0.7920026635744691,0.3935018050541516,-197.47732142856125,cost_ladder,1.0,0.1,
,277,0.7429171623959465,0.37545126353790614,-254.057642857136,cost_ladder,1.0,0.2,
,192,0.8500719987210562,0.4010416666666667,-92.27503571428466,vol_gate_sensitivity,,,0.6
,228,0.9842792552156483,0.4166666666666667,-10.83471428571346,vol_gate_sensitivity,,,0.65
,277,1.039648154596018,0.4187725631768953,32.091285714287004,vol_gate_sensitivity,,,0.7
,332,0.9522372319321832,0.40963855421686746,-46.59501785714007,vol_gate_sensitivity,,,0.75
,372,1.0325427674759777,0.4112903225806452,36.13964285714552,vol_gate_sensitivity,,,0.8
