stream,budget,cap,n_starts,e_paid,med_paid,med_months,bust_pct,closed_max_pct,data_end_pct,safety_net_pct,med_days_to_safety_net,worst_day,payout_dist_0_pct,payout_dist_1_pct,payout_dist_2_pct,payout_dist_3_pct,payout_dist_4_pct,payout_dist_5_pct,payout_dist_6_pct,label
kept,100,2,49,0,0,36.6,0.0,0.0,100.0,2.0,1642.0,-155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT-VIABLE
kept,150,2,49,276,0,36.6,0.0,0.0,100.0,89.8,716.5,-273.0,81.6,18.4,0.0,0.0,0.0,0.0,0.0,NOT-VIABLE
kept,200,2,49,1491,1100,36.6,0.0,0.0,100.0,100.0,580.0,-291.0,8.2,51.0,22.4,16.3,2.0,0.0,0.0,NOT-VIABLE
kept,250,4,49,7230,7236,32.4,0.0,73.5,26.5,100.0,285.0,-446.0,0.0,0.0,0.0,6.1,12.2,8.2,73.5,FUNDED-VIABLE
kept,300,4,49,8174,8585,30.4,8.2,81.6,10.2,100.0,236.0,-547.0,0.0,2.0,0.0,8.2,4.1,4.1,81.6,FUNDED-VIABLE
kept,400,4,49,8277,10175,18.9,20.4,73.5,6.1,87.8,190.0,-661.0,16.3,4.1,0.0,2.0,4.1,0.0,73.5,MARGINAL
kept,480,4,49,8554,10257,18.4,22.4,75.5,2.0,87.8,171.0,-882.0,12.2,8.2,2.0,0.0,0.0,2.0,75.5,MARGINAL
kept,480,5,49,7820,10000,17.3,46.9,49.0,4.1,87.8,131.0,-882.0,16.3,10.2,0.0,8.2,8.2,8.2,49.0,NOT-VIABLE
kept,600,6,49,5531,970,8.4,57.1,42.9,0.0,63.3,66.0,-1000.0,38.8,18.4,0.0,0.0,0.0,0.0,42.9,NOT-VIABLE
kept,640,4,49,6131,4403,12.4,55.1,42.9,2.0,75.5,132.0,-882.0,28.6,16.3,4.1,6.1,0.0,2.0,42.9,NOT-VIABLE
unfiltered,100,2,49,0,0,36.6,0.0,0.0,100.0,0.0,,-187.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT-VIABLE
unfiltered,150,2,49,343,0,36.6,0.0,0.0,100.0,87.8,788.0,-273.0,69.4,30.6,0.0,0.0,0.0,0.0,0.0,NOT-VIABLE
unfiltered,200,2,49,2130,2052,36.6,0.0,0.0,100.0,100.0,583.0,-299.0,2.0,38.8,34.7,14.3,10.2,0.0,0.0,NOT-VIABLE
unfiltered,250,4,49,4792,4946,20.5,32.7,10.2,57.1,89.8,220.5,-446.0,12.2,4.1,12.2,34.7,18.4,8.2,10.2,NOT-VIABLE
unfiltered,300,4,49,5370,6038,18.4,36.7,20.4,42.9,83.7,229.0,-547.0,18.4,4.1,10.2,14.3,10.2,22.4,20.4,NOT-VIABLE
unfiltered,400,4,49,6529,9150,15.9,42.9,49.0,8.2,77.6,153.0,-661.0,22.4,10.2,4.1,6.1,2.0,6.1,49.0,NOT-VIABLE
unfiltered,480,4,49,7016,10000,14.8,42.9,51.0,6.1,73.5,128.5,-882.0,26.5,6.1,10.2,0.0,0.0,6.1,51.0,NOT-VIABLE
unfiltered,480,5,49,5862,3949,13.6,55.1,36.7,8.2,73.5,98.5,-882.0,32.7,6.1,8.2,8.2,0.0,8.2,36.7,NOT-VIABLE
unfiltered,600,6,49,5069,919,6.1,59.2,32.7,8.2,61.2,69.5,-1000.0,42.9,14.3,2.0,0.0,2.0,6.1,32.7,NOT-VIABLE
unfiltered,640,4,49,7208,11960,12.9,42.9,55.1,2.0,73.5,111.0,-882.0,30.6,6.1,6.1,0.0,0.0,2.0,55.1,NOT-VIABLE
