level,model,n_signal_days,overlap_pct,rejected_in_disguise
PDH,sweep_reclaim_reversal,1026,19.0,False
PDH,break_retest_continuation,967,19.5,False
PDH,failed_break_back_into_range,813,20.0,False
PDL,sweep_reclaim_reversal,782,20.1,False
PDL,break_retest_continuation,685,20.3,False
PDL,failed_break_back_into_range,604,19.4,False
ONH,sweep_reclaim_reversal,1432,18.0,False
ONH,break_retest_continuation,1249,16.1,False
ONH,failed_break_back_into_range,1062,17.4,False
ONL,sweep_reclaim_reversal,1339,16.9,False
ONL,break_retest_continuation,1120,16.7,False
ONL,failed_break_back_into_range,976,16.5,False
PMH,sweep_reclaim_reversal,1660,19.2,False
PMH,break_retest_continuation,1449,17.6,False
PMH,failed_break_back_into_range,1216,18.8,False
PML,sweep_reclaim_reversal,1616,19.6,False
PML,break_retest_continuation,1372,19.1,False
PML,failed_break_back_into_range,1199,19.4,False
PRIOR_CLOSE_hi,sweep_reclaim_reversal,1433,22.6,False
PRIOR_CLOSE_hi,break_retest_continuation,1427,22.3,False
PRIOR_CLOSE_hi,failed_break_back_into_range,1226,23.0,False
PRIOR_CLOSE_lo,sweep_reclaim_reversal,1459,21.9,False
PRIOR_CLOSE_lo,break_retest_continuation,1361,22.4,False
PRIOR_CLOSE_lo,failed_break_back_into_range,1203,23.2,False
