row,year,n,pass_count,bust_count,exp_count,pass_pct,bust_pct,exp_pct,e_dollar
WATCH,2022,151,48,32,71,31.8,21.2,47.0,364219.0
WATCH,2023,160,29,18,113,18.1,11.2,70.6,211040.0
WATCH,2024,152,49,39,64,32.2,25.7,42.1,372088.0
WATCH,2025,160,110,22,28,68.8,13.8,17.5,859040.0
WATCH,2026,61,33,23,5,54.1,37.7,8.2,256009.0
BALANCED,2022,151,42,31,78,27.8,20.5,51.7,316219.0
BALANCED,2023,160,30,14,116,18.8,8.8,72.5,219040.0
BALANCED,2024,152,46,32,74,30.3,21.1,48.7,348088.0
BALANCED,2025,160,105,22,33,65.6,13.8,20.6,819040.0
BALANCED,2026,61,33,24,4,54.1,39.3,6.6,256009.0
